title,link
"Ex-Man Utd striker Hernandez fined for sexismMexico striker Javier Hernandez is fined for making comments that ""promoted sexual stereotypes"".3 hrs agoMexico",https://www.bbc.com/sport/football/articles/cd97194vveqo
Australia to lift import ban on US beef after Trump tariffs tiffThe Australian government says it has not compromised on its strict biosecurity laws.3 hrs agoAustralia,https://www.bbc.com/news/articles/cn813m73x5zo
"Bryan Kohberger gets four life sentences for murdering Idaho college studentsThe defendant declined to speak at the hearing, leaving the families of his victims with unanswered questions about his motive.14 hrs agoUS & Canada",https://www.bbc.com/news/articles/c0rvk25v5lxo
1White House pushes back after reports Trump is named in Epstein files,https://www.bbc.com/news/articles/cwyq921zqqzo
2Starmer and Modi to sign £6bn India-UK trade deal,https://www.bbc.com/news/articles/c307ggj492vo
3Australian women win right to sue Qatar Airways over invasive searches,https://www.bbc.com/news/articles/c4g8nn3exn5o
"4As porn sites apply new age checks, will users hand over personal ID?",https://www.bbc.com/news/articles/c1k81lj8nvpo
5Wreckage found after plane carrying 48 people goes down in Russian far east,https://www.bbc.com/news/articles/c99490m97epo
6Why Filipinos keep getting married in flooded churches,https://www.bbc.com/news/articles/cn9y02rn7pzo
7Twelve killed in Thailand-Cambodia military clashes on disputed border,https://www.bbc.com/news/articles/c80p8z0y0eko
8They made America's clothing. Now they are getting punished for it.,https://www.bbc.com/news/articles/cy9xw5vrvevo
"9Just 7,000 steps a day cuts health risks, study says",https://www.bbc.com/news/articles/cx238lgy3pwo
10Australia to lift import ban on US beef after Trump tariffs tiff,https://www.bbc.com/news/articles/cn813m73x5zo
Ringrose withdraws after being named in Lions sideGarry Ringrose pulls out of the British and Irish Lions team for the second Test against Australia after feeling the effects of concussion in training.3 hrs agoBritish & Irish Lions,https://www.bbc.com/sport/rugby-union/articles/cvg427j4rpvo
"We meet again - England & Spain set for 'amazing' Euro 2025 finalTwo years on from the World Cup final, England and Spain will meet again in what promises to be an ""amazing"" Euro 2025 final.10 hrs agoUEFA Women's Euro",https://www.bbc.com/sport/football/articles/cx2nrllyrpqo
'A win-win' - reaction in Barcelona to Rashford's arrivalSpanish football expert Andy West looks at how Marcus Rashford's loan move from Manchester United to Barcelona has been received in Spain.1 hr agoEuropean Football,https://www.bbc.com/sport/football/articles/cj9vk917mrjo
Skelton and Valetini return for WallabiesLock Will Skelton and flanker Rob Valetini are back in the Australia starting XV for Saturday's must-win second Test against the British and Irish Lions in Melbourne.3 hrs agoBritish & Irish Lions,https://www.bbc.com/sport/rugby-union/articles/c1jwjldy06ro
From hospital bed to hero status - Bonmati 'could write a book'Aitana Bonmati's place at Euro 2025 was under threat when she was struck down with viral meningitis before the tournament. She might yet leave it with a winner's medal.10 hrs agoUEFA Women's Euro,https://www.bbc.com/sport/football/articles/c74w2elr2x7o
"We meet again - England & Spain set for 'amazing' Euro 2025 finalTwo years on from the World Cup final, England and Spain will meet again in what promises to be an ""amazing"" Euro 2025 final.10 hrs agoUEFA Women's Euro",https://www.bbc.com/sport/football/articles/cx2nrllyrpqo
Isak not part of Newcastle's pre-season tour of AsiaNewcastle have not named striker Alexander Isak in their squad for a pre-season tour of Asia.41 mins ago,https://www.bbc.com/sport/football/articles/c3d1dv1gpdjo
'A win-win' - reaction in Barcelona to Rashford's arrivalSpanish football expert Andy West looks at how Marcus Rashford's loan move from Manchester United to Barcelona has been received in Spain.1 hr agoEuropean Football,https://www.bbc.com/sport/football/articles/cj9vk917mrjo
